Motor energy,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
Alternative energy,Albania,2019,3757.0
Alternative energy,Albania,2020,372.0
Alternative energy,Albania,2021,5703.0
Alternative energy,Albania,2022,4114.0
Alternative energy,Albania,2023,6088.0
Alternative energy,Albania,2024,11047.0
Alternative energy,Austria,2013,1285.0
Alternative energy,Austria,2014,2074.0
Alternative energy,Austria,2015,2389.0
Alternative energy,Austria,2016,4317.0
Alternative energy,Austria,2017,5868.0
Alternative energy,Austria,2018,7406.0
Alternative energy,Austria,2019,9841.0
Alternative energy,Austria,2020,16393.0
Alternative energy,Austria,2021,33466.0
Alternative energy,Austria,2022,34242.0
Alternative energy,Austria,2023,47642.0
Alternative energy,Austria,2024,44635.0
Alternative energy,Bosnia and Herzegovina,2013,39.0
Alternative energy,Bosnia and Herzegovina,2014,46.0
Alternative energy,Bosnia and Herzegovina,2015,49.0
Alternative energy,Bosnia and Herzegovina,2016,141.0
Alternative energy,Bosnia and Herzegovina,2017,136.0
Alternative energy,Bosnia and Herzegovina,2018,101.0
Alternative energy,Bosnia and Herzegovina,2019,137.0
Alternative energy,Bosnia and Herzegovina,2020,73.0
Alternative energy,Bosnia and Herzegovina,2021,229.0
Alternative energy,Bosnia and Herzegovina,2022,300.0
Alternative energy,Bosnia and Herzegovina,2023,333.0
Alternative energy,Bosnia and Herzegovina,2024,300.0
Alternative energy,Belgium,2013,843.0
Alternative energy,Belgium,2014,2234.0
Alternative energy,Belgium,2015,2146.0
Alternative energy,Belgium,2016,4453.0
Alternative energy,Belgium,2017,5408.0
Alternative energy,Belgium,2018,7931.0
Alternative energy,Belgium,2019,12525.0
Alternative energy,Belgium,2020,18919.0
Alternative energy,Belgium,2021,25866.0
Alternative energy,Belgium,2022,40652.0
Alternative energy,Belgium,2023,97043.0
Alternative energy,Belgium,2024,131433.0
Alternative energy,Bulgaria,2022,1042.0
Alternative energy,Bulgaria,2023,1783.0
Alternative energy,Bulgaria,2024,1786.0
Alternative energy,Switzerland,2013,2272.0
Alternative energy,Switzerland,2014,3012.0
Alternative energy,Switzerland,2015,4993.0
Alternative energy,Switzerland,2016,4484.0
Alternative energy,Switzerland,2017,5704.0
Alternative energy,Switzerland,2018,6172.0
Alternative energy,Switzerland,2019,14460.0
Alternative energy,Switzerland,2020,20378.0
Alternative energy,Switzerland,2021,32394.0
Alternative energy,Switzerland,2022,40730.0
