Country,Year,GDP
Albania,2019,60.55
Albania,2020,76.96
Albania,2021,95.0
Albania,2022,76.78
Albania,2023,85.01
Albania,2024,106.82
Austria,2013,392.26
Austria,2014,519.36
Austria,2015,479.47
Austria,2016,533.24
Austria,2017,426.49
Austria,2018,605.14
Austria,2019,557.32
Austria,2020,328.75
Austria,2021,312.57
Austria,2022,280.51
Austria,2023,329.21
Austria,2024,382.79
Belgium,2013,712.44
Belgium,2014,667.57
Belgium,2015,789.97
Belgium,2016,698.1
Belgium,2017,758.18
Belgium,2018,788.11
Belgium,2019,818.69
Belgium,2020,730.5
Belgium,2021,516.13
Belgium,2022,562.64
Belgium,2023,750.57
Belgium,2024,562.79
Bosnia and Herzegovina,2013,9.43
Bosnia and Herzegovina,2014,7.75
Bosnia and Herzegovina,2015,7.04
Bosnia and Herzegovina,2016,13.12
Bosnia and Herzegovina,2017,14.46
Bosnia and Herzegovina,2018,14.22
Bosnia and Herzegovina,2019,11.95
Bosnia and Herzegovina,2020,8.15
Bosnia and Herzegovina,2021,11.77
Bosnia and Herzegovina,2022,11.61
Bosnia and Herzegovina,2023,11.44
Bosnia and Herzegovina,2024,13.64
Bulgaria,2013,0.14
Bulgaria,2014,0.0
Bulgaria,2015,0.23
Bulgaria,2016,0.45
Bulgaria,2017,0.48
Bulgaria,2018,0.33
Bulgaria,2019,1.83
Bulgaria,2020,0.18
Bulgaria,2021,0.49
Bulgaria,2022,47.36
Bulgaria,2023,65.81
Bulgaria,2024,74.02
Croatia,2013,0.42
Croatia,2014,1.69
Croatia,2015,1.33
Croatia,2016,2.03
Croatia,2017,1.88
Croatia,2018,3.34
Croatia,2019,4.77
Croatia,2020,0.43
Croatia,2021,59.56
Croatia,2022,52.16
Croatia,2023,59.77
Croatia,2024,72.62
Cyprus,2013,9.01
Cyprus,2014,13.85
Cyprus,2015,12.49
Cyprus,2016,22.25
Cyprus,2017,21.73
Cyprus,2018,17.24
Cyprus,2019,15.1
Cyprus,2020,17.22
Cyprus,2021,17.16
Cyprus,2022,18.87
Cyprus,2023,24.23
Cyprus,2024,18.66
Czechia,2013,0.02
Czechia,2014,0.04
Czechia,2015,0.27
Czechia,2016,0.16
Czechia,2017,0.26
Czechia,2018,0.45
Czechia,2019,0.54
Czechia,2020,2.27
Czechia,2021,334.94
Czechia,2022,279.87
Czechia,2023,366.69
Czechia,2024,321.2
Denmark,2013,228.72
Denmark,2014,305.39
Denmark,2015,335.83
Denmark,2016,340.4
Denmark,2017,366.62
Denmark,2018,325.49
Denmark,2019,340.03
Denmark,2020,288.56
Denmark,2021,225.78
Denmark,2022,187.99
Denmark,2023,210.41
Denmark,2024,273.2
Estonia,2013,27.22
Estonia,2014,31.66
Estonia,2015,36.59
Estonia,2016,30.93
Estonia,2017,36.89
Estonia,2018,43.29
Estonia,2019,36.72
Estonia,2020,23.94
Estonia,2021,30.93
Estonia,2022,26.54
Estonia,2023,40.23
Estonia,2024,43.19
Finland,2013,81.81
Finland,2014,182.24
Finland,2015,182.26
Finland,2016,155.45
Finland,2017,204.92
Finland,2018,182.81
Finland,2019,191.54
Finland,2020,166.82
Finland,2021,136.38
Finland,2022,102.99
Finland,2023,116.47
Finland,2024,107.4
France,2013,2957.82
France,2014,3017.87
France,2015,2261.52
France,2016,2976.57
France,2017,3116.05
France,2018,2951.8
France,2019,2859.92
France,2020,2365.02
France,2021,3004.03
France,2022,2188.64
France,2023,2770.71
France,2024,2875.72
Georgia,2017,3.86
Georgia,2018,6.09
Georgia,2019,4.24
Georgia,2020,3.22
Georgia,2021,5.3
Georgia,2022,7.45
Georgia,2023,8.77
Georgia,2024,10.31
Germany,2013,2337.64
Germany,2014,2307.9
Germany,2015,1999.09
Germany,2016,2325.97
Germany,2017,5976.28
Germany,2018,4596.81
Germany,2019,4622.23
Germany,2020,4339.2
Germany,2021,4676.94
Germany,2022,3551.26
Germany,2023,4540.98
Germany,2024,4648.04
Greece,2013,0.0
Greece,2014,0.03
Greece,2015,0.02
Greece,2016,0.02
Greece,2017,0.03
Greece,2018,0.06
Greece,2019,0.12
Greece,2020,0.57
Greece,2021,139.02
Greece,2022,137.44
Greece,2023,163.94
Greece,2024,212.23
Hungary,2013,90.39
Hungary,2014,81.94
Hungary,2015,116.18
Hungary,2016,128.67
Hungary,2017,183.79
Hungary,2018,177.64
Hungary,2019,254.27
Hungary,2020,182.79
Hungary,2021,214.18
Hungary,2022,142.55
Hungary,2023,150.85
Hungary,2024,153.55
Iceland,2017,44.73
Iceland,2018,36.23
Iceland,2019,18.39
Iceland,2020,14.39
Iceland,2021,26.57
Iceland,2022,25.46
Iceland,2023,26.53
Iceland,2024,13.71
Ireland,2013,47.27
Ireland,2014,73.81
Ireland,2015,114.51
Ireland,2016,120.42
Ireland,2017,186.66
Ireland,2018,180.41
Ireland,2019,205.36
Ireland,2020,159.91
Ireland,2021,187.33
Ireland,2022,178.73
Ireland,2023,198.13
Ireland,2024,153.21
Italy,2013,1693.44
Italy,2014,2383.12
Italy,2015,2481.78
Italy,2016,2219.24
Italy,2017,2504.43
Italy,2018,3094.18
Italy,2019,2278.23
Italy,2020,1720.97
Italy,2021,2312.68
Italy,2022,2147.99
Italy,2023,2505.01
